epoch loss acc val_acc
001 0.58874 0.7039 0.7190
002 0.50724 0.7734 0.7543
003 0.51855 0.7556 0.7609
004 0.51907 0.7546 0.7460
005 0.49642 0.7588 0.7782
006 0.46073 0.7818 0.7637
007 0.45311 0.7944 0.7713
008 0.49596 0.7760 0.7773
009 0.44411 0.8036 0.7826
010 0.41152 0.8026 0.7897
011 0.43218 0.7977 0.7815
012 0.43066 0.7991 0.7892
013 0.39994 0.8296 0.7903
014 0.42016 0.8284 0.7895
015 0.40015 0.8218 0.7895
016 0.39520 0.8184 0.7880
017 0.36612 0.8277 0.7924
018 0.36429 0.8347 0.7854
019 0.36378 0.8387 0.7926
020 0.34649 0.8555 0.7838
001 0.35476 0.8329 0.8267
002 0.37069 0.8430 0.8366
003 0.30504 0.8671 0.8283
004 0.32984 0.8613 0.8311
005 0.26706 0.8935 0.8312
006 0.28031 0.8834 0.8215
007 0.24143 0.9003 0.8170
008 0.22308 0.9039 0.8217
009 0.20672 0.9202 0.8287
010 0.18648 0.9249 0.8240
011 0.18549 0.9345 0.8230
012 0.15555 0.9397 0.8147
013 0.11502 0.9575 0.8098
014 0.14497 0.9475 0.8128
015 0.12160 0.9518 0.8133
016 0.10753 0.9585 0.8144
017 0.11473 0.9514 0.8077
018 0.10763 0.9600 0.8088
019 0.08692 0.9695 0.8059
020 0.09388 0.9665 0.8088
021 0.08298 0.9727 0.8059
022 0.08153 0.9661 0.8106
023 0.07342 0.9771 0.8009
024 0.08526 0.9693 0.8001
025 0.08906 0.9695 0.7974
026 0.08273 0.9714 0.8047
027 0.08977 0.9740 0.8019
028 0.09181 0.9746 0.8032
029 0.09286 0.9712 0.8010
030 0.10537 0.9683 0.8005
001 0.11174 0.9686 0.9542
002 0.09083 0.9661 0.9515
003 0.05613 0.9785 0.9473
004 0.05024 0.9806 0.9484
005 0.04869 0.9854 0.9478
006 0.04809 0.9865 0.9437
007 0.04510 0.9854 0.9411
008 0.03636 0.9879 0.9448
009 0.03479 0.9883 0.9347
010 0.03563 0.9885 0.9361
011 0.03225 0.9899 0.9408
012 0.03049 0.9888 0.9341
013 0.03521 0.9864 0.9342
014 0.03027 0.9896 0.9311
015 0.03050 0.9894 0.9261
016 0.03622 0.9881 0.9308
017 0.02987 0.9934 0.9236
018 0.03253 0.9914 0.9216
019 0.03192 0.9915 0.9217
020 0.02089 0.9908 0.9274
021 0.05385 0.9803 0.9214
022 0.02838 0.9924 0.9248
023 0.04493 0.9857 0.9162
024 0.03876 0.9914 0.9179
025 0.01673 0.9932 0.9180
026 0.03302 0.9941 0.9157
027 0.03985 0.9881 0.9151
028 0.03491 0.9897 0.9144
029 0.01021 0.9978 0.9086
030 0.02211 0.9961 0.9123
031 0.06322 0.9860 0.9076
032 0.05659 0.9892 0.9108
033 0.02435 0.9884 0.9096
034 0.02922 0.9913 0.9046
035 0.01658 0.9952 0.9087
036 0.01374 0.9935 0.9094
037 0.03592 0.9898 0.9070
038 0.01093 0.9973 0.9089
039 0.02933 0.9874 0.9056
040 0.02326 0.9924 0.9041
041 0.01762 0.9940 0.9039
042 0.00748 0.9984 0.9057
043 0.01980 0.9934 0.9081
044 0.01443 0.9944 0.9084
045 0.00728 0.9969 0.9081
046 0.01753 0.9945 0.9019
047 0.00892 0.9957 0.9078
048 0.01903 0.9940 0.9034
049 0.01637 0.9934 0.8961
050 0.02732 0.9934 0.9033
051 0.02124 0.9914 0.8958
052 0.00702 0.9971 0.9003
053 0.01459 0.9930 0.9001
054 0.01329 0.9954 0.9030
055 0.02871 0.9897 0.9014
056 0.00438 0.9990 0.9043
057 0.01719 0.9947 0.8917
058 0.00930 0.9971 0.8982
059 0.00818 0.9942 0.9028
060 0.00812 0.9980 0.9044
061 0.03791 0.9953 0.9011
062 0.01539 0.9962 0.9000
063 0.01319 0.9957 0.8972
064 0.00748 0.9981 0.9041
065 0.00477 0.9989 0.8977
066 0.00196 0.9995 0.8996
067 0.00668 0.9985 0.9036
068 0.00508 0.9991 0.8995
069 0.00336 0.9981 0.8987
070 0.01643 0.9939 0.8994
071 0.00398 0.9985 0.9017
072 0.00241 0.9992 0.8995
073 0.00983 0.9953 0.9017
074 0.01876 0.9954 0.9033
075 0.00246 0.9992 0.9022
076 0.00192 0.9996 0.9014
077 0.00154 0.9998 0.9035
078 0.00847 0.9965 0.8998
079 0.00135 0.9997 0.8999
080 0.00920 0.9978 0.9011
081 0.00113 0.9996 0.8974
